
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-08-10


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 0.01,0.05,0.1,0.2, 0.3, 0.4, 0.5,1,2,4
Weight Array:, 1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, H1
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, H1, 6, 0.0517, 2.0225, -, 17.7, 24.2, 1.6, "Imperial Valley-02", 1940, "El Centro Array #9", 6.95, strike slip, 6.09, 6.09, 213.44, 0.25, 2.0805, RSN6_IMPVALL.I_I-ELC180.AT2, RSN6_IMPVALL.I_I-ELC270.AT2 , RSN6_IMPVALL.I_I-ELC-UP.AT2  
2, H1, 9, 0.0849, 9.831, -, 21.5, 37.2, 0.1, "Borrego", 1942, "El Centro Array #9", 6.5, strike slip, 56.88, 56.88, 213.44, 0.125, 10.113, RSN9_BORREGO_B-ELC000.AT2, RSN9_BORREGO_B-ELC090.AT2 , RSN9_BORREGO_B-ELC-UP.AT2  
3, H1, 15, 0.0674, 4.1626, -, 10.7, 30.3, 0.6, "Kern County", 1952, "Taft Lincoln School", 7.36, Reverse, 38.42, 38.89, 385.43, 0.125, 4.282, RSN15_KERN_TAF021.AT2, RSN15_KERN_TAF111.AT2 , RSN15_KERN_TAF-UP.AT2  
4, H1, 28, 0.0987, 9.3442, -, 14.7, 29.0, 0.1, "Parkfield", 1966, "Cholame - Shandon Array #12", 6.19, strike slip, 17.64, 17.64, 408.93, 0.125, 9.6123, RSN28_PARKF_C12050.AT2, RSN28_PARKF_C12320.AT2 , RSN28_PARKF_C12DWN.AT2  
5, H1, 40, 0.0435, 16.3957, -, 19.3, 28.0, 0.0, "Borrego Mtn", 1968, "San Onofre - So Cal Edison", 6.63, strike slip, 129.11, 129.11, 442.88, 0.1625, 16.8662, RSN40_BORREGO_A-SON033.AT2, RSN40_BORREGO_A-SON303.AT2 , RSN40_BORREGO_A-SON-UP.AT2  
6, H1, 54, 0.0635, 62.9572, -, 13.6, 22.0, 0.0, "San Fernando", 1971, "Borrego Springs Fire Sta", 6.61, Reverse, 214.32, 214.32, 338.54, 0.125, 64.7636, RSN54_SFERN_BSF135.AT2, RSN54_SFERN_BSF225.AT2 , RSN54_SFERN_BSFDWN.AT2  
7, H1, 55, 0.0699, 49.3358, -, 13.6, 21.6, 0.0, "San Fernando", 1971, "Buena Vista - Taft", 6.61, Reverse, 111.37, 112.52, 385.69, 0.125, 50.7514, RSN55_SFERN_BVP090.AT2, RSN55_SFERN_BVP180.AT2 , RSN55_SFERN_BVPDWN.AT2  
8, H1, 59, 0.0835, 35.3724, -, 5.8, 10.4, 0.0, "San Fernando", 1971, "Cedar Springs_ Allen Ranch", 6.61, Reverse, 89.37, 89.72, 813.48, 0.375, 36.3873, RSN59_SFERN_CSM095.AT2, RSN59_SFERN_CSM185.AT2 , RSN59_SFERN_CSMDWN.AT2  
9, H1, 67, 0.0545, 86.5871, -, 20.2, 26.5, 0.0, "San Fernando", 1971, "Isabella Dam (Aux Abut)", 6.61, Reverse, 130.0, 130.98, 591.0, 0.125, 89.0716, RSN67_SFERN_ISD014.AT2, RSN67_SFERN_ISD284.AT2 , RSN67_SFERN_ISDDWN.AT2  
10, H1, 86, 0.0953, 35.9024, -, 15.8, 35.5, 0.0, "San Fernando", 1971, "San Onofre - So Cal Edison", 6.61, Reverse, 124.79, 124.79, 442.88, 0.25, 36.9325, RSN86_SFERN_SON033.AT2, RSN86_SFERN_SON303.AT2 , RSN86_SFERN_SONDWN.AT2  
11, H1, 96, 0.0619, 2.7443, -, 2.8, 8.1, 0.4, "Managua_ Nicaragua-02", 1972, "Managua_ ESSO", 5.2, strike slip, 4.33, 4.98, 288.77, 0.125, 2.8231, RSN96_MANAGUA_B-ESO090.AT2, RSN96_MANAGUA_B-ESO180.AT2 , RSN96_MANAGUA_B-ESODWN.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-6 H1 pSa (g),RSN-9 H1 pSa (g),RSN-15 H1 pSa (g),RSN-28 H1 pSa (g),RSN-40 H1 pSa (g),RSN-54 H1 pSa (g),RSN-55 H1 pSa (g),RSN-59 H1 pSa (g),RSN-67 H1 pSa (g),RSN-86 H1 pSa (g),RSN-96 H1 pSa (g)
0.14,1.22,1.23458038,1.4912099,1.02211547,1.50095662,1.30896383,1.35494158,0.95450136,1.08367094,0.84365141,1.27359646,1.56596278,1.07138076,1.53854301,1.08421542
0.15,1.22,1.29516467,1.58965102,1.05523257,1.31263135,1.265336,1.26419311,1.13721166,1.20900184,0.87102207,1.32377986,1.94243887,1.42283363,1.49390164,1.00446135
0.16,1.22,1.35229327,1.68322773,1.08642286,1.11993007,1.37611224,1.49519339,1.3958181,1.35365789,0.85167657,1.31377012,2.07752141,1.50907182,1.31889948,1.0635749
0.17,1.22,1.49399565,1.8989821,1.17537865,1.55313627,1.42221059,1.79940468,1.85924128,1.36969406,0.84846575,1.31101767,2.10091812,1.82835237,1.27686318,1.06464822
0.18,1.22,1.48494222,1.89386254,1.16431544,1.4674138,1.72235276,1.77004543,1.90040235,1.49780731,0.85107974,1.17831471,1.92446085,1.83726998,1.13406186,1.05115562
0.19,1.22,1.44646499,1.72537882,1.21263861,1.30737435,1.77525315,1.64311354,1.48618931,1.4690679,1.0480685,1.22303614,1.87045146,1.63991191,1.33111598,1.11753264
0.2,1.22,1.45574606,1.75213914,1.20949103,1.26385713,1.67045118,1.50303906,1.30669995,1.59731166,1.05675911,1.39269705,1.9623376,1.82774799,1.20694475,1.22536113
0.22,1.22,1.41390334,1.76402712,1.13327206,1.39771311,2.01600747,1.54315364,1.09721113,1.34667938,0.94474309,1.38395129,1.77890136,1.70502804,1.0395424,1.30000578
0.24,1.22,1.40533579,1.75151542,1.12757711,1.60139476,1.82656093,1.49958785,1.13837033,1.44747915,1.04222858,1.52144624,1.57345323,1.83830123,0.84156308,1.12830833
0.25,1.22,1.39978577,1.6924273,1.15774556,1.64417925,1.87027528,1.38560331,1.28162207,1.47358082,1.11867377,1.58131771,1.41899582,1.59373153,0.8928349,1.13682898
0.26,1.22,1.42315514,1.6669266,1.21503283,1.61869131,1.80414536,1.53534626,1.3688882,1.48106629,1.21192539,1.60914754,1.30270521,1.54017479,0.9751515,1.20746468
0.28,1.22,1.46701746,1.70366061,1.2632447,1.45520012,1.69210682,1.48868766,1.34338049,1.65664714,1.33371929,1.62203603,1.71391769,1.65318919,1.04472635,1.13358132
0.29,1.22,1.46241186,1.72094554,1.2427171,1.37558529,1.78026301,1.38199808,1.28249294,1.70988079,1.34116147,1.68817611,1.64943878,1.66961563,1.0197006,1.18821774
0.3,1.22,1.45312398,1.71989847,1.22772905,1.31810455,1.81349165,1.54083174,1.20279932,1.72236613,1.29875411,1.67234277,1.34116313,1.76012863,1.07031792,1.24406387
0.32,1.22,1.51580016,1.89649529,1.2115243,1.34940162,1.81130525,1.71950436,1.08592151,1.95311958,1.48882513,1.79691519,0.97550108,1.9684417,1.13717208,1.38769431
0.34,1.22,1.55959072,1.98287989,1.22666189,1.19828247,1.69787563,2.19669217,1.02764192,2.05050364,1.63349328,1.9072113,1.14561538,1.57363985,1.15313571,1.57140652
0.35,1.22,1.60867658,2.06593315,1.2526254,1.19493812,1.6234356,2.45426276,1.02513114,2.12445164,1.57284533,1.91690875,1.35020678,1.49441348,1.27750691,1.66134185
0.36,1.22,1.61828268,2.07041378,1.26488669,1.3336373,1.54530011,2.46938882,0.95701588,2.15851541,1.45463117,1.84965467,1.4375925,1.48399359,1.36855246,1.74282761
0.38,1.22,1.41587452,1.8324005,1.09402974,1.36616626,1.46330794,1.63575114,0.77066575,2.17087778,1.05650477,1.52217296,1.24713837,1.23840129,1.24382905,1.85980439
0.4,1.22,1.36467968,1.8145331,1.02635253,1.23780998,1.38716519,1.54570115,0.85674219,2.12084131,0.90805099,1.5712014,1.16389088,1.07063611,1.17623889,1.97319841
0.42,1.22,1.35013574,1.77099994,1.02928661,1.15157076,1.28295209,1.45237395,0.80014277,1.97841327,0.91437253,1.44939031,1.30879067,1.3982273,1.0913664,2.02389313
0.44,1.22,1.28406372,1.66561072,0.98991897,1.48936646,1.20026389,1.25652185,0.79856043,1.69023543,0.98594104,1.15032355,1.36296136,1.33176994,0.872838,1.98591902
0.45,1.22,1.27055043,1.65834416,0.97343992,1.63605763,1.2255039,1.26931061,0.79462,1.62138813,1.12018285,1.00449282,1.32850795,1.24576813,0.79089478,1.93932793
0.46,1.22,1.2673167,1.62601313,0.98774825,1.69637569,1.25718416,1.35896224,0.77931322,1.43628464,1.22317584,0.92115379,1.28856403,1.20263647,0.89731767,1.87951595
0.48,1.22,1.24824127,1.61071881,0.96733599,1.5913067,1.27176938,1.56064531,0.69234778,1.15200226,1.33486323,0.85205998,1.28107994,1.40674487,0.85515034,1.73268422
0.5,1.22,1.19319541,1.54015219,0.9243991,1.49182295,1.32586227,1.59306116,0.67530036,0.99233609,1.21454818,0.78050777,1.32458303,1.29684674,0.86489173,1.56538926
0.55,1.22,1.05466153,1.34416303,0.82751192,1.4855887,1.07427129,0.98709492,0.48393307,0.8942316,1.03471905,0.9050866,1.28752161,1.33638763,0.9529247,1.15951761
0.6,1.15566667,0.93319801,1.21898759,0.71441132,1.09067245,0.75819324,1.4220677,0.45262281,0.80920615,1.11256944,0.71108982,1.06785945,1.11581728,0.86301008,0.86206971
0.65,1.06676923,0.8954835,1.22624534,0.65393986,0.99298547,0.68975884,1.52156847,0.44220631,0.88522297,1.11471817,0.5624805,0.98376301,1.02246942,0.93426803,0.70087735
0.667,1.03958021,0.85880632,1.19545557,0.61696002,1.0224156,0.68226244,1.53109375,0.39880824,0.87753092,0.98513016,0.53369355,0.89477599,0.89441657,0.94988126,0.67686101
0.7,0.99057143,0.83640336,1.21396042,0.57627132,1.12519799,0.62818193,1.59233853,0.39682662,0.82544169,1.06579977,0.56118741,0.67282099,0.76802541,0.8556404,0.7089762
